gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,CustomerSegment
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5354,0,0.031187814681318374,Loyal
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1360,0,0.7853204301161341,At Risk
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1449,0,0.036915364844637436,Loyal
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0,0.15757811646166472,Loyal
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3815,0,0.36705556680333074,Dormant
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5644,0,0.01812724519314029,Loyal
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1,0.6105080184394424,Dormant
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3073,0,0.2848220886134572,Loyal
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1,0.5789638383420382,Dormant
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1,0.7127263435159965,At Risk
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4024,0,0.13557139643163907,Loyal
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4118,0,0.014603609165614071,Loyal
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3572,0,0.06209304435952307,Loyal
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4105,0,0.015015770914934709,Loyal
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0,0.32680489728964945,Dormant
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3348,0,0.4298202474571178,Dormant
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6481,0,0.35763424581257547,Dormant
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1,0.6860270269546338,Dormant
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3599,0,0.032646841022477203,Loyal
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3625,0,0.009179906382159894,Loyal
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3285,0,0.4669633150300555,Dormant
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1,0.5068027237911634,Dormant
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1275,0,0.22884880868278895,Loyal
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1,0.7121727871815029,At Risk
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3782,0,0.028512307244982417,Loyal
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1,0.7410488384007775,At Risk
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5104,0,0.14892061827298314,Loyal
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5555,0,0.15001823837408718,Loyal
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6314,0,0.024012419776145266,Loyal
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5937,0,0.07944384784626982,Loyal
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3985,0,0.5443745664227114,Dormant
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4530,0,0.27041544553402597,Loyal
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2558,0,0.010721331238234242,Loyal
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0,0.12621210490302867,Loyal
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1,0.7609561029862092,At Risk
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086,0,0.4390867267748031,Dormant
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3157,0,0.1876675666429461,Loyal
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2143,0,0.04943655987636309,Loyal
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6399,0,0.009964129890845977,Loyal
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290,0,0.528744759347417,Dormant
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4137,0,0.28944987974867087,Loyal
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,181,0,0.021328557627884326,Loyal
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5563,0,0.06134056750251472,Loyal
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,785,0,0.008447853407490024,Loyal
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295,0,0.23398375611276076,Loyal
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5009,0,0.16745307047237867,Loyal
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339,0,0.07140628390410146,Loyal
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071,0,0.19417410851892786,Loyal
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1742,0,0.24093413965840127,Loyal
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,397,0,0.03481429124184229,Loyal
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1,0.7058793917164372,At Risk
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4676,0,0.45656393026493847,Dormant
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1,0.6163882657300551,Dormant
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3682,0,0.33003136321343973,Dormant
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6491,0,0.01750456702091575,Loyal
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6364,0,0.7748458931701159,At Risk
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1852,0,0.08533428701609627,Loyal
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,108,0,0.007551000118977569,Loyal
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6382,0,0.018811546645049748,Loyal
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,19,0,0.3065847468110386,Dormant
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229,0,0.2514221595733014,Loyal
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5723,0,0.5614251003857862,Dormant
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4717,0,0.021316171400262582,Loyal
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5575,0,0.26332639581502454,Loyal
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5751,0,0.07281144197959082,Loyal
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1,0.5814672160715707,Dormant
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4018,0,0.01609790555194312,Loyal
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1,0.15689003999952583,Loyal
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,203,0,0.007237475339244379,Loyal
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1,0.6194902647123438,Dormant
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1610,0,0.18365364413348267,Loyal
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1483,0,0.16007783383123356,Loyal
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3122,0,0.16702278990497949,Loyal
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2630,0,0.06277083311598747,Loyal
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5833,1,0.07071053032901466,Loyal
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0,0.41849521862981914,Dormant
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5672,0,0.10823005124248385,Loyal
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6385,0,0.12326376288223409,Loyal
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358,0,0.2934899632739237,Loyal
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,658,0,0.0034041210781587624,Loyal
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1,0.26489827423303086,Loyal
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2642,0,0.018550934316893464,Loyal
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3380,0,0.36085909097607954,Dormant
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1,0.5017529432357584,Dormant
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2967,0,0.03620823313222563,Loyal
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2128,0,0.4286063013007059,Dormant
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240,0,0.034097199436512224,Loyal
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1,0.6381207958866796,Dormant
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6160,0,0.0183155582983923,Loyal
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1769,0,0.3285274681637292,Dormant
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4581,0,0.24857200761656292,Loyal
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,230,0,0.1580697544422099,Loyal
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1,0.6827608852661803,Dormant
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3039,0,0.21808558011183957,Loyal
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5043,0,0.18909249987596652,Loyal
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2632,0,0.07542259660885063,Loyal
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1,0.5340256274565434,Dormant
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1228,0,0.007432262329739103,Loyal
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1489,0,0.18083701208591796,Loyal
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3403,0,0.07324798757678028,Loyal
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,394,0,0.6895643887657457,Dormant
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1,0.3121224898037009,Dormant
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2837,0,0.008102468898997963,Loyal
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1,0.6551302880374599,Dormant
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1,0.37169566813172944,Dormant
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,348,0,0.020478892108031933,Loyal
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304,0,0.3248448360972036,Dormant
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,510,0,0.005371710873028945,Loyal
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,319,0,0.008126224365644837,Loyal
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1,0.754280183574141,At Risk
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5173,0,0.016832168030950924,Loyal
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1,0.30553462063635917,Dormant
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894,0,0.12357575338145846,Loyal
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4419,0,0.07465470521546153,Loyal
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1278,0,0.006660462852234652,Loyal
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5168,0,0.03188312607499688,Loyal
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4983,0,0.10749309201214673,Loyal
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1,0.4370190164166539,Dormant
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1528,0,0.06891570860998028,Loyal
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,141,0,0.23676971099346258,Loyal
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4669,0,0.42601377330011375,Dormant
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236,1,0.7671760645374938,At Risk
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5988,0,0.10760361262650427,Loyal
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4370,0,0.01101681420619041,Loyal
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,250,0,0.1384365892986829,Loyal
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,290,0,0.5497596050086002,Dormant
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1378,0,0.570156393185374,Dormant
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3583,0,0.04965669362942386,Loyal
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,51,0,0.045120051453995766,Loyal
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2166,0,0.04313215934360768,Loyal
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5845,0,0.22198189067766846,Loyal
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1,0.39759144163633153,Dormant
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,639,0,0.6184657704317251,Dormant
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3383,0,0.029339654290349897,Loyal
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1966,0,0.06855426939052688,Loyal
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659,0,0.005264970176326247,Loyal
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1,0.604424979652991,Dormant
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5071,0,0.01575414615537158,Loyal
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,1,0.22700355629479085,Loyal
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2790,0,0.11282273303741577,Loyal
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3064,0,0.08353838307192656,Loyal
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,1,0.7689959601427618,At Risk
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,339,0,0.08338133748559814,Loyal
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,1,0.2335001267105484,Loyal
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5230,0,0.03975598352355096,Loyal
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5917,0,0.11893055849382256,Loyal
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,1,0.6359812294196765,Dormant
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,1,0.4643294987038073,Dormant
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1001,0,0.6484697887034084,Dormant
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,459,0,0.017583013007982574,Loyal
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,1,0.4234098423289646,Dormant
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3816,0,0.382294613614915,Dormant
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,1,0.6681339697312785,Dormant
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2104,0,0.07447610721714762,Loyal
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,1,0.48229560460920645,Dormant
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,1,0.5816411859444443,Dormant
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,48,0,0.2386021235413406,Loyal
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6099,0,0.4268025870793664,Dormant
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2090,0,0.06749169551551847,Loyal
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2015,0,0.14767954847910514,Loyal
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2757,0,0.060879267362757075,Loyal
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,1,0.696825083402595,Dormant
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,678,0,0.00377197344913805,Loyal
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,6076,0,0.039059035797644893,Loyal
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,359,0,0.005159565021753002,Loyal
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502,0,0.35088664636584094,Dormant
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,4822,0,0.036986349363203476,Loyal
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,5218,0,0.3207944409463856,Dormant
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,6038,0,0.05522983626465072,Loyal
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,1621,0,0.15747464450515575,Loyal
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2333,0,0.25265560743866783,Loyal
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,218,0,0.3796311301785137,Dormant
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730,0,0.04678871701731228,Loyal
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,72,0,0.4978817195106085,Dormant
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2552,0,0.2159546122815618,Loyal
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2336,0,0.1408741796615834,Loyal
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,3571,0,0.013299997750990339,Loyal
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974,1,0.6909710966371404,Dormant
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536,1,0.46335917037528923,Dormant
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,5291,0,0.11425531788147887,Loyal
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6174,1,0.4490883666447005,Dormant
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,2152,0,0.48642677990550615,Dormant
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,237,0,0.005110251660202312,Loyal
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,4493,0,0.04118977152482437,Loyal
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1580,0,0.6015343790093454,Dormant
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,2976,0,0.1671964658174739,Loyal
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,2727,0,0.006345636682643733,Loyal
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3250,0,0.017096514137494502,Loyal
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,4450,0,0.02411835870740604,Loyal
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,5063,0,0.6644196484654296,Dormant
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,1,0.6282033056891583,Dormant
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1390,0,0.006071254248268939,Loyal
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,1610,0,0.1103948088761733,Loyal
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326,1,0.256732153442261,Loyal
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,1807,0,0.08257406226745558,Loyal
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,525,0,0.24739156402831144,Loyal
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2198,0,0.09513494703765224,Loyal
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1,0.4735464382499114,Dormant
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2365,0,0.46161262136064274,Dormant
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,3495,0,0.031285563012207654,Loyal
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,4756,0,0.06563253715684367,Loyal
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4015,0,0.1613037097770291,Loyal
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175,1,0.6835736360186853,Dormant
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1016,0,0.0042655339390749,Loyal
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,5529,0,0.1284197918212479,Loyal
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269,1,0.42514053164483373,Dormant
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,2583,0,0.14474509368585506,Loyal
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,561,0,0.5548900499337401,Dormant
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231,1,0.6943182479125207,Dormant
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,2456,0,0.031384808303496665,Loyal
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,5128,0,0.0183161688185829,Loyal
